2024-01-06 10:56:57 |INFO  |main |StartupInfoLogger.java:55 |com.example.dockerplugindemo.DockerplugindemoApplication |Starting DockerplugindemoApplication using Java 1.8.0_351 on DESKTOP-TOIK954 with PID 10940 (E:\OneDrive\AtGuiGu\JavaDevelop\dockerplugin\dockerplugindemo\target\classes started by wswxg in E:\OneDrive\AtGuiGu\JavaDevelop\dockerplugin)
2024-01-06 10:56:57 |INFO  |main |SpringApplication.java:651 |com.example.dockerplugindemo.DockerplugindemoApplication |The following 1 profile is active: "dev"
2024-01-06 10:56:58 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8111 (http)
2024-01-06 10:56:58 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8111"]
2024-01-06 10:56:58 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-01-06 10:56:58 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.68]
2024-01-06 10:56:58 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-01-06 10:56:58 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 849 ms
2024-01-06 10:56:58 |INFO  |main |WelcomePageHandlerMapping.java:53 |org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping |Adding welcome page: class path resource [static/index.html]
2024-01-06 10:56:59 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8111"]
2024-01-06 10:56:59 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8111 (http) with context path ''
2024-01-06 10:56:59 |INFO  |main |StartupInfoLogger.java:61 |com.example.dockerplugindemo.DockerplugindemoApplication |Started DockerplugindemoApplication in 1.786 seconds (JVM running for 3.079)
2024-01-06 10:57:34 |INFO  |http-nio-8111-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-06 10:57:34 |INFO  |http-nio-8111-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2024-01-06 10:57:35 |INFO  |http-nio-8111-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 2 ms
2024-01-06 10:57:35 |INFO  |http-nio-8111-exec-1 |BasicController.java:38 |com.example.dockerplugindemo.demos.web.BasicController |hello log
2024-01-06 10:58:24 |INFO  |main |StartupInfoLogger.java:55 |com.example.dockerplugindemo.DockerplugindemoApplication |Starting DockerplugindemoApplication using Java 1.8.0_351 on DESKTOP-TOIK954 with PID 49316 (E:\OneDrive\AtGuiGu\JavaDevelop\dockerplugin\dockerplugindemo\target\classes started by wswxg in E:\OneDrive\AtGuiGu\JavaDevelop\dockerplugin)
2024-01-06 10:58:24 |INFO  |main |SpringApplication.java:651 |com.example.dockerplugindemo.DockerplugindemoApplication |The following 1 profile is active: "dev"
2024-01-06 10:58:24 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8111 (http)
2024-01-06 10:58:24 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8111"]
2024-01-06 10:58:24 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-01-06 10:58:24 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.68]
2024-01-06 10:58:25 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-01-06 10:58:25 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 983 ms
2024-01-06 10:58:25 |INFO  |main |WelcomePageHandlerMapping.java:53 |org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping |Adding welcome page: class path resource [static/index.html]
2024-01-06 10:58:25 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8111"]
2024-01-06 10:58:25 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8111 (http) with context path ''
2024-01-06 10:58:25 |INFO  |main |StartupInfoLogger.java:61 |com.example.dockerplugindemo.DockerplugindemoApplication |Started DockerplugindemoApplication in 1.907 seconds (JVM running for 3.212)
2024-01-06 11:59:48 |INFO  |main |StartupInfoLogger.java:55 |com.example.dockerplugindemo.DockerplugindemoApplication |Starting DockerplugindemoApplication using Java 1.8.0_351 on DESKTOP-TOIK954 with PID 34012 (E:\OneDrive\AtGuiGu\JavaDevelop\dockerplugin\dockerplugindemo\target\classes started by wswxg in E:\OneDrive\AtGuiGu\JavaDevelop\dockerplugin)
2024-01-06 11:59:48 |INFO  |main |SpringApplication.java:651 |com.example.dockerplugindemo.DockerplugindemoApplication |The following 1 profile is active: "dev"
2024-01-06 11:59:48 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8111 (http)
2024-01-06 11:59:48 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8111"]
2024-01-06 11:59:48 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-01-06 11:59:48 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.68]
2024-01-06 11:59:48 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-01-06 11:59:48 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 876 ms
2024-01-06 11:59:49 |INFO  |main |WelcomePageHandlerMapping.java:53 |org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping |Adding welcome page: class path resource [static/index.html]
2024-01-06 11:59:49 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8111"]
2024-01-06 11:59:49 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8111 (http) with context path ''
2024-01-06 11:59:49 |INFO  |main |StartupInfoLogger.java:61 |com.example.dockerplugindemo.DockerplugindemoApplication |Started DockerplugindemoApplication in 1.778 seconds (JVM running for 3.119)
